feature,importance
resp_rate_delta,0.07642231331307077
temperature_mean3h,0.06638187426314678
heart_rate,0.057970424609025684
gcs_verbal_delta,0.05317009920049346
temperature,0.05305276196027866
heart_rate_mean3h,0.04666051588585071
spo2_mean3h,0.0429168346927727
heart_rate_delta,0.04027754280148312
creatinine_missing,0.038785430867436875
platelets_missing,0.03863230663407942
spo2_delta,0.03711152876093243
bun_missing,0.03706374929027442
resp_rate,0.03427740313468533
gcs_eye_delta,0.03329712042760619
temperature_missing,0.031866357778605796
resp_rate_mean3h,0.03131116223158808
temperature_delta,0.020070599722634686
wbc_missing,0.019116254114235648
sodium_missing,0.017443828231716155
lactate_delta,0.015514242913538036
creatinine_delta,0.014445613935828265
spo2,0.014197743435687292
glucose_missing,0.012344608476084845
gcs_eye,0.012053623474133265
heart_rate_missing,0.011686302537264858
wbc_mean3h,0.011047658459717422
spo2_missing,0.011038175639306765
gcs_motor_delta,0.01090879684131438
lactate_mean3h,0.010075390655585506
resp_rate_missing,0.009732661969383367
glucose,0.009529631610650806
bun_delta,0.007331813823148576
creatinine,0.007314489003297649
sodium_mean3h,0.006157725046811387
gcs_verbal_missing,0.00613246548273417
platelets,0.006073824509277211
sodium,0.0059325958322613845
gcs_eye_missing,0.005817069666984651
glucose_mean3h,0.00568561872909699
gcs_motor_missing,0.005681379963578489
platelets_delta,0.005641027150302297
ph,0.005185356095007652
creatinine_mean3h,0.0030720360066236367
gcs_verbal,0.002837947273188917
wbc,0.0025600486470051687
ph_delta,0.002307883332122743
bun,0.0020339838027585064
lactate,0.0008670878236095627
lactate_missing,0.0006090763248769607
glucose_delta,0.00035601361890229776
bilirubin,0.0
gcs_motor,0.0
wbc_delta,0.0
sodium_delta,0.0
bilirubin_missing,0.0
bilirubin_delta,0.0
ph_missing,0.0
